Asset ID;Site Name;Plot Number;Feature ID;Location;Type;Primary Measure;Unit;Site Code;Feature GP;x;y;Dead;Classification;Extent Easting 1;Extent Northing 1;Extent Easting 2;Extent Northing 2;Layers;Latin code;Latin name;Feature type name;Common name;Full common name;Crown height;Crown width;Crown area;Trunk diameter at 1.3m;Location risk zone;Epicormic;Insurance claim history;geo_shape;geo_point_2d,,,,
"00120705;Valley Walk;100247;;;Tree - Parks and Green Space;1;Number;VALLWA;TR;358872;167387.59;N;;;;;;;AEHI;Aesculus hippocastanum;Tree - Parks and Green Space;Horse Chestnut;Horse chestnut;8;6;20.1 - 100 M2 (New);39 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.592646063850305"," 51.40401544434873]}"";51.4040154443",-2.592646064,
"00094713;Victoria Park;100532;;;Tree - Highways Unadopted;1;Number;VICTPA;TR;358880.21;171443.77;N;;;;;;;TIXE;Tilia x europea;Tree - Highways Unadopted;Lime;European lime;5;5;20.1 - 100 M2 (New);19 Centimetres;Zone D - Low;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.593000046302783"," 51.44048556826991]}"";51.4404855683",-2.593000046,
"00140828;Victoria Park;100590;;;Tree - Parks and Green Space;1;Number;VICTPA;TR;359444.73;171295.03;N;;;;;;;TICO;Tilia cordata;Tree - Parks and Green Space;Lime;Small-leaved lime;3;1;Up to 20 M2 (New);7 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.584861395592382"," 51.43918905007822]}"";51.4391890501",-2.584861396,
"33171;Vincent Close Amenity Area;100030;;;Tree - Housing;1;Number;VINCCLAA;TR;355278.68;178639.18;N;;;;;;;TIZZ;Tilia - Species Unknown;Tree - Housing;Lime;Unidentified lime;10;12;100.1 - 200 M2 (New);46 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.645726675777423"," 51.50490538892946]}"";51.5049053889",-2.645726676,
"00266871;Victoria Square Park;100022.02;;;Tree - Parks and Green Space;1;Number;VICTSQ;TR;357317.88;173149.24;N;;;;;;;PATO;Paulownia tomentosa;Tree - Parks and Green Space;Foxglove Tree;Foxglove tree;3;4;;10 Centimetres;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.615682953339129"," 51.45570359711741]}"";51.4557035971",-2.615682953,
"00283586;Wedmore Vale Island;100005.4;;;Tree - Housing;1;Number;WEDMVAIS;TR;359160.21;170769.84;N;;;;;;;UKN1;Unknown species - Broadleaf;Tree - Housing;;;2;2;;7 Centimetres;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.588893822983146"," 51.43444652172963]}"";51.4344465217",-2.588893823,
"00066789;Victoria Square Park;100038;;;Tree - Parks and Green Space;1;Number;VICTSQ;TR;357214.75;173109.95;N;;;;;;;ILAQ;Ilex aquifolium;Tree - Parks and Green Space;Holly;Common holly;7;5;20.1 - 100 M2 (New);17 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.617162369635116"," 51.45534253434143]}"";51.4553425343",-2.61716237,
"00280142;Briery Leaze Road Open Space;100132;;;Tree - Parks and Green Space;0;Number;WHITPH2;TR;360230.69;168274.25;N;;;;;;;NA;No Code Allocated;Tree - Parks and Green Space;;;No;No;;No Code Allocated;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.57321427665185"," 51.41208471939222]}"";51.4120847194",-2.573214277,
"00227712;Eastwood Farm;100096;;;Tree - Parks and Green Space;1;Number;EASTFAINCO;TR;363138.16;171380.24;N;;;;;;;FREX;Fraxinus excelsior;Tree - Parks and Green Space;Ash;Common ash;10;10;20.1 - 100 M2 (New);30 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.53173523965031"," 51.44020833826806]}"";51.4402083383",-2.53173524,
"00098151;Whittock Road Open Space;100021;;;Tree - Parks and Green Space;7;Number;WHITRDOS;TR;361845.76;168724.53;N;;;;;;;SOAU;Sorbus aucuparia;Tree - Parks and Green Space;Rowan;Rowan;4;2;Up to 20 M2 (New);No Code Allocated;Zone D - Low;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.550041676683194"," 51.41624458096913]}"";51.416244581",-2.550041677,
"00265936;Easton Leisure Centre;100002;;;Tree - Parks and Green Space;1;Number;EASTLC;TR;360183.16;173584.48;N;;;;;;;NA;No Code Allocated;Tree - Parks and Green Space;;;No;No;;No Code Allocated;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.574496532241968"," 51.45982623737907]}"";51.4598262374",-2.574496532,
"00153171;Eastville Library;100006;;;Tree - BCC Other;1;Number;EASTLI;TR;360597.34;175431.11;N;;;;;;;ACPS;Acer pseudoplatanus;Tree - BCC Other;Sycamore;Sycamore;10;7;20.1 - 100 M2 (New);29 Centimetres;Zone B - High;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.568741808810099"," 51.47645848402439]}"";51.476458484",-2.568741809,
"40139;Willmott Park;100107;;;Tree - Parks and Green Space;1;Number;WILLPA;TR;358253.9;168360.94;N;;;;;;;PNZZ;Pinus - Unknown Species;Tree - Parks and Green Space;Pine;Unidentified pine;5;4;Up to 20 M2 (New);20 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.601646260932876"," 51.41272165458213]}"";51.4127216546",-2.601646261,
"00266874;Victoria Square Park;100060.02;;;Tree - Parks and Green Space;1;Number;VICTSQ;TR;357289;173093.98;N;;;;;;;GIBI;Ginkgo biloba;Tree - Parks and Green Space;Gingko;Maidenhair tree;3;1;;8 Centimetres;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.6160918848851553"," 51.45520456974859]}"";51.4552045697",-2.616091885,
"42339;Clifton and Durdham Downs;101699;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356471.72;174109.99;N;;;;;;;TIZZ;Tilia - Species Unknown;Tree - Parks and Green Space;Lime;Unidentified lime;9;8;20.1 - 100 M2 (New);32 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.6279789221838312"," 51.464277083805776]}"";51.4642770838",-2.627978922,
"31203;Clifton and Durdham Downs;101869;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356627.58;173828.05;N;;;;;;;QURO;Quercus robur;Tree - Parks and Green Space;Oak;English oak;7;6;20.1 - 100 M2 (New);20 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.625700784835705"," 51.461754164011126]}"";51.461754164",-2.625700785,
"31215;Clifton and Durdham Downs;101964;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356577.62;173415.12;N;;;;;;;FASY;Fagus sylvatica;Tree - Parks and Green Space;Beech;Common beech;12;5;20.1 - 100 M2 (New);20 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.626369027135985"," 51.45803767468318]}"";51.4580376747",-2.626369027,
"42577;Clifton and Durdham Downs;102030;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356642.94;173195.13;N;;;;;;;CRMO;Crataegus monogyna;Tree - Parks and Green Space;Hawthorn;Common hawthorn;4;2;Up to 20 M2 (New);8 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.625401893907902"," 51.456064766278494]}"";51.4560647663",-2.625401894,
"31272;Clifton and Durdham Downs;102136;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356918.83;173264.57;N;;;;;;;TIZZ;Tilia - Species Unknown;Tree - Parks and Green Space;Lime;Unidentified lime;16;9;100.1 - 200 M2 (New);32 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.6214399126651493"," 51.456710220606844]}"";51.4567102206",-2.621439913,
"31290;Clifton and Durdham Downs;102154;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356965.13;173314.14;N;;;;;;;QURO;Quercus robur;Tree - Parks and Green Space;Oak;English oak;4;3;Up to 20 M2 (New);8 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.620779626268704"," 51.45715943569296]}"";51.4571594357",-2.620779626,
"00093586;Withywood Park;100014;;;Tree - Parks and Green Space;1;Number;WITHPA;TR;356701.41;167885.76;N;;;;;;;SACA;Salix caprea;Tree - Parks and Green Space;Willow;Goat willow;8;8;20.1 - 100 M2 (New);23 Centimetres;Zone D - Low;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.623909575584631"," 51.40833252809825]}"";51.4083325281",-2.623909576,
"00280024;Withywood Park;100028.03;;;Tree - Parks and Green Space;0;Number;WITHPA;TR;356836.68;168030.49;N;;;;;;;NA;No Code Allocated;Tree - Parks and Green Space;;;No;No;;23 Centimetres;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.621982531837523"," 51.409644146253726]}"";51.4096441463",-2.621982532,
"00069584;Dursley Road Amenity Land;100020;;;Tree - Housing;1;Number;DURSRO;TR;353420.09;176380.77;N;;;;;;;PRZZ;Prunus - Species Unknown;Tree - Housing;Cherry;Unidentified cherry;3;4;Up to 20 M2 (New);12 Centimetres;Zone C - Moderate;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.672204022102898"," 51.484449841394856]}"";51.4844498414",-2.672204022,
"00079751;Hassell Drive Open Space;100027;;;Tree - Parks and Green Space;1;Number;EAST6OS;TR;360252.14;173203.02;N;;;;;;;ACPS;Acer pseudoplatanus;Tree - Parks and Green Space;Sycamore;Sycamore;9;9;20.1 - 100 M2 (New);42 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.57346071725449"," 51.456401363335075]}"";51.4564013633",-2.573460717,
"00051231;Filton Avenue;100007;;;Tree - Highways Adopted;1;Number;4536950;TR;359602.18;176710.18;N;;;;;;;TIXE;Tilia x europea;Tree - Highways Adopted;Lime;European lime;11;9;20.1 - 100 M2 (New);47 Centimetres;Zone B - High;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.583216860201547"," 51.487888238498556]}"";51.4878882385",-2.58321686,
"35151;Walker Close Car Park;100008;;;Tree - Housing;1;Number;WALKCLCAPA;TR;360547.19;173578.4;N;;;;;;;PRZZ;Prunus - Species Unknown;Tree - Housing;Cherry;Unidentified cherry;7;9;20.1 - 100 M2 (New);38 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.569256444836729"," 51.45979713645577]}"";51.4597971365",-2.569256445,
"00088895;Walsh Avenue;100026;;;Tree - BCC Other;1;Number;WALSAV;TR;360485.54;169291.78;N;;;;;;;TIXE;Tilia x europea;Tree - BCC Other;Lime;European lime;12;11;100.1 - 200 M2 (New);51 Centimetres;Zone D - Low;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.569663855981673"," 51.42125135166733]}"";51.4212513517",-2.569663856,
"00099340;Windmill Lane;100012;;;Tree - Parks and Green Space;1;Number;4537885;TR;355607.18;179195.59;N;;;;;;;FREX;Fraxinus excelsior;Tree - Parks and Green Space;Ash;Common ash;10;5;20.1 - 100 M2 (New);27 Centimetres;Zone C - Moderate;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.641064273932518"," 51.50993397717788]}"";51.5099339772",-2.641064274,
"00198429;Briar Way;100010.5;;Os 69/71;Tree - Highways Adopted;1;Number;4538172;TR;364065.77;175503.28;N;;;;;;;CRXP;Crataegus x persimilis Prunifo;Tree - Highways Adopted;Hawthorn;Broad-leaved cockspur thorn;3;5;Up to 20 M2 (New);10 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.518810287784095"," 51.47733904106183]}"";51.4773390411",-2.518810288,
"00052158;Staple Hill Road;100035;;Os 47;Tree - Highways Adopted;1;Number;4537368;TR;363918.4;175993.64;N;;;;;;;PLAC;Platanus x acerifolia;Tree - Highways Adopted;Plane;London plane;13;10;100.1 - 200 M2 (New);63 Centimetres;Zone B - High;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.520982438008222"," 51.481738517152415]}"";51.4817385172",-2.520982438,
"00281798;Southfield Road;100005.5;;;Tree - Highways Adopted;1;Number;4537687;TR;357182.62;177073.26;N;;;;;;;PRS3;Prunus serrula;Tree - Highways Adopted;Cherry;Tibetan cherry;No;No;;No Code Allocated;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.618106352938618"," 51.49097414526437]}"";51.4909741453",-2.618106353,
"00060280;Newfoundland Road;100027;;Map required for this site;Tree - Highways Adopted;1;Number;4535146;TR;359829.7;173878.94;N;;;;;;;MAJO;Malus John Downie;Tree - Highways Adopted;Apple;Crabapple;7;6;20.1 - 100 M2 (New);20 Centimetres;Zone B - High;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.5796173513468883"," 51.462448699204494]}"";51.4624486992",-2.579617351,
"00062192;Charlton Road;100027;;;Tree - Highways Adopted;1;Number;4545398;TR;357669.72;178497.9;N;;;;;;;ZPIT;ZZ Empty tree pit;Tree - Highways Adopted;;;7;5;20.1 - 100 M2 (New);26 Centimetres;Zone B - High;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.611262289588359"," 51.503819797438275]}"";51.5038197974",-2.61126229,
"00060931;Daventry Road;100001;;Os 1;Tree - Highways Adopted;1;Number;4539777;TR;359864.78;170466.45;N;;;;;;;ACPS;Acer pseudoplatanus;Tree - Highways Adopted;Sycamore;Sycamore;9;8;20.1 - 100 M2 (New);63 Centimetres;Zone B - High;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.57872425123476"," 51.43176920548325]}"";51.4317692055",-2.578724251,
"00051963;New Station Road;100015;;Os 37;Tree - Highways Adopted;1;Number;4545486;TR;363336.56;175686.95;N;;;;;;;PLAC;Platanus x acerifolia;Tree - Highways Adopted;Plane;London plane;8;7;20.1 - 100 M2 (New);50 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.52932887249314"," 51.478943496877214]}"";51.4789434969",-2.529328872,
"00230034;Ashton Drive;100006.5;;""Os 157/159",,,,
"Dead juvenile"";Tree - Highways Adopted;1;Number;4545123;TR;356599.74;170561.73;N;;;;;;;MATR;Malus trilobata;Tree - Highways Adopted;Apple;Maple-leaved crabapple;3;2;Up to 20 M2 (New);5 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.625699809517501"," 51.43238451492959]}"";51.4323845149",-2.62569981,
00053248;Hillfields Avenue;100021;;Os 33 Plot 100,"020.5 Replacement for old trees;Tree - Highways Adopted;1;Number;4542494;TR;364395.44;175252.67;N;;;;;;;ZSTP;ZZ Tree stump;Tree - Highways Adopted;;;No;No;;No Code Allocated;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.514038215958471"," 51.47510668554574]}"";51.4751066855",-2.514038216
"00218259;Gatton Road;100010;;;Tree - Highways Adopted;1;Number;4542571;TR;360327.02;174452.09;N;;;;;;;TICO;Tilia cordata;Tree - Highways Adopted;Lime;Small-leaved lime;No;No;;No Code Allocated;Zone A - Very High;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.572523637823044"," 51.46763711057456]}"";51.4676371106",-2.572523638,
"00225251;Hobhouse Close;100002;;;Tree - Highways Adopted;1;Number;4543312;TR;358090.96;177114.83;N;;;;;;;PRZZ;Prunus - Species Unknown;Tree - Highways Adopted;Cherry;Unidentified cherry;7;16;20.1 - 100 M2 (New);43 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.605028937214099"," 51.49141614440704]}"";51.4914161444",-2.605028937,
"34131;Downman Road;100032;;;Tree - Housing;1;Number;4538413;TR;360329.78;176129.25;N;;;;;;;ROZZ;Robinia - Species Unknown;Tree - Housing;False Acacia;Unidentified false acacia;8;7;20.1 - 100 M2 (New);36 Centrimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.572672786167795"," 51.48271673785272]}"";51.4827167379",-2.572672786,
"00062394;Sturminster Road;100007;;Os 217;Tree - Highways Adopted;1;Number;4549381;TR;361606.3;168377.47;N;;;;;;;ACPS;Acer pseudoplatanus;Tree - Highways Adopted;Sycamore;Sycamore;12;10;20.1 - 100 M2 (New);42 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.553447206274829"," 51.41310788795739]}"";51.413107888",-2.553447206,
"00054509;Hotwell Road;100012;;;Tree - Highways Adopted;1;Number;4549701;TR;357180.3;172519.45;N;;;;;;;SOIN;Sorbus intermedia;Tree - Highways Adopted;Whitebeam;Swedish whitebeam;7;8;20.1 - 100 M2 (New);43 Centimetres;Zone B - High;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.617586475905226"," 51.45003072919122]}"";51.4500307292",-2.617586476,
"00053601;The Crescent;100001;;;Tree - Highways Adopted;1;Number;4547093;TR;358469.64;177034.61;N;;;;;;;PRZZ;Prunus - Species Unknown;Tree - Highways Adopted;Cherry;Unidentified cherry;4;7;20.1 - 100 M2 (New);35 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.599565474166239"," 51.49072290760604]}"";51.4907229076",-2.599565474,
"00051381;York Avenue;100003;;;Tree - Highways Adopted;1;Number;4546630;TR;359838.74;175736.64;N;;;;;;;PRKA;Prunus Kanzan;Tree - Highways Adopted;Cherry;Kanzan cherry;6;7;20.1 - 100 M2 (New);32 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.579698973309481"," 51.47915201234958]}"";51.4791520123",-2.579698973,
"00062184;Charlton Road;100019;;;Tree - Highways Adopted;1;Number;4545398;TR;357755.09;178670.6;N;;;;;;;TIXE;Tilia x europea;Tree - Highways Adopted;Lime;European lime;16;10;100.1 - 200 M2 (New);71 Centimetres;Zone B - High;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.610053146244239"," 51.505378939248374]}"";51.5053789392",-2.610053146,
"00054504;Hotwell Road;100007;;;Tree - Highways Adopted;1;Number;4549701;TR;357204.54;172507.95;N;;;;;;;SOIN;Sorbus intermedia;Tree - Highways Adopted;Whitebeam;Swedish whitebeam;9;8;20.1 - 100 M2 (New);43 Centimetres;Zone B - High;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.617236277510885"," 51.44992917002083]}"";51.44992917",-2.617236278,
"00267816;Trym Valley Open Space;100021.1;;;Tree - Parks and Green Space;1;Number;TRYMVAOS;TR;358520.26;178125.55;N;;;;;;;MAZZ;Malus - Species Unknown;Tree - Parks and Green Space;Apple;Unidentified apple;6;6;;No Code Allocated;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.598965021863497"," 51.50053525184421]}"";51.5005352518",-2.598965022,
"00143210;Trym Valley Open Space;100022;;;Tree - Parks and Green Space;1;Number;TRYMVAOS;TR;358506.83;178130.78;N;;;;;;;PRA1;Prunus avium Plena;Tree - Parks and Green Space;Cherry;Double white cherry;6;4;Up to 20 M2 (New);8 Centimetres;Zone D - Low;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.599159105069111"," 51.50058128610297]}"";51.5005812861",-2.599159105,
