Asset ID;Site Name;Plot Number;Feature ID;Location;Type;Primary Measure;Unit;Site Code;Feature GP;x;y;Dead;Classification;Extent Easting 1;Extent Northing 1;Extent Easting 2;Extent Northing 2;Layers;Latin code;Latin name;Feature type name;Common name;Full common name;Crown height;Crown width;Crown area;Trunk diameter at 1.3m;Location risk zone;Epicormic;Insurance claim history;geo_shape;geo_point_2d,,,,
"00112127;Windmill Hill City Farm;100001;;;Tree - Parks and Green Space;1;Number;WINDHICIFA;TR;358910.61;171639.56;N;;;;;;;ACPS;Acer pseudoplatanus;Tree - Parks and Green Space;Sycamore;Sycamore;12;11;100.1 - 200 M2 (New);59 Centimetres;Zone D - Low;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.592585483713729"," 51.44224814267877]}"";51.4422481427",-2.592585484,
"00112140;Windmill Hill City Farm;100014;;;Tree - Parks and Green Space;1;Number;WINDHICIFA;TR;358972.02;171632.03;N;;;;;;;LAAN;Laburnum anagyroides;Tree - Parks and Green Space;Laburnum;Laburnum;6;7;20.1 - 100 M2 (New);No Code Allocated;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.591701089970163"," 51.442184904244215]}"";51.4421849042",-2.59170109,
"31268;Clifton and Durdham Downs;102132;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356977.17;173285.22;N;;;;;;;TIZZ;Tilia - Species Unknown;Tree - Parks and Green Space;Lime;Unidentified lime;22;16;350.1 Plus M2 (New);80 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.620602821089355"," 51.456900333567305]}"";51.4569003336",-2.620602821,
"42670;Clifton and Durdham Downs;102175;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356781.49;173163.03;N;;;;;;;CRMO;Crataegus monogyna;Tree - Parks and Green Space;Hawthorn;Common hawthorn;5;7;20.1 - 100 M2 (New);32 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.623404023215814"," 51.455786777940816]}"";51.4557867779",-2.623404023,
"00069545;Dursley Road Amenity Land;100002;;;Tree - Housing;1;Number;DURSRO;TR;353241.62;176334.46;N;;;;;;;BEPE;Betula pendula;Tree - Housing;Silver Birch;Silver birch;6;4;Up to 20 M2 (New);20 Centimetres;Zone C - Moderate;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.674767887916139"," 51.48401871020794]}"";51.4840187102",-2.674767888,
"31800;Temple Gardens Park;100021;;;Tree - Parks and Green Space;1;Number;TEMPGAPA;TR;359408.98;172655.17;N;;;;;;;COFR;Cotoneaster frigidus;Tree - Parks and Green Space;Cotoneaster;Himalayan tree cotoneaster;6;9;20.1 - 100 M2 (New);No Code Allocated;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.585532156993003"," 51.45141560681798]}"";51.4514156068",-2.585532157,
"33211;The Chalet (SH);100018;;;Tree - Housing;1;Number;THECHSH;TR;356547.01;179219.01;N;;;;;;;PRAV;Prunus avium;Tree - Housing;Cherry;Wild cherry;6;7;20.1 - 100 M2 (New);31 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.627525708173111"," 51.51021779639491]}"";51.5102177964",-2.627525708,
"42573;Clifton and Durdham Downs;102026;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356615.78;173188.68;N;;;;;;;FREX;Fraxinus excelsior;Tree - Parks and Green Space;Ash;Common ash;12;6;20.1 - 100 M2 (New);32 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.625791972657502"," 51.45600468801561]}"";51.456004688",-2.625791973,
"00058498;Victoria Park;100302;;;Tree - Parks and Green Space;1;Number;VICTPA;TR;359032.91;171464.99;N;;;;;;;TIXE;Tilia x europea;Tree - Parks and Green Space;Lime;European lime;22;18;200.1 - 350 M2 (New);90 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.590805666679888"," 51.44068745499028]}"";51.440687455",-2.590805667,
"38763;Wharnecliffe Gardens South;100069;;;Tree - Housing;1;Number;WHARGASO;TR;360919.93;168154.3;N;;;;;;;SOAU;Sorbus aucuparia;Tree - Housing;Rowan;Rowan;2;4;Up to 20 M2 (New);10 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.563291257712634"," 51.411054295073974]}"";51.4110542951",-2.563291258,
"42585;Clifton and Durdham Downs;102038;;;Tree - Highways Adopted;1;Number;DURDDO;TR;356721.46;173188.68;N;;;;;;;CRMO;Crataegus monogyna;Tree - Highways Adopted;Hawthorn;Common hawthorn;3;3;Up to 20 M2 (New);32 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.624271084761539"," 51.456012798689606]}"";51.4560127987",-2.624271085,
"00201724;Victoria Park;100625.5;;Sponsored tree memorial (see notes);Tree - Parks and Green Space;1;Number;VICTPA;TR;359468.39;171649.63;N;;;;;;;LITU;Liriodendron tulipifera;Tree - Parks and Green Space;Tulip Tree;Tulip tree;No;No;;No Code Allocated;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.584561734900725"," 51.442378987615406]}"";51.4423789876",-2.584561735,
"28059;Station Road Flats 102-172;100017;;;Tree - Housing;1;Number;STATROFL1;TR;356432.97;179336.48;N;;;;;;;SEG1;Sequoiadendron giganteum;Tree - Housing;Redwood;Wellingtonia;15;6;20.1 - 100 M2 (New);No Code Allocated;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.629183409153628"," 51.51126515266294]}"";51.5112651527",-2.629183409,
"00194055;The Coots;100005.1;;;Tree - Housing;1;Number;THECO;TR;362293.34;168937.36;N;;;;;;;SOAU;Sorbus aucuparia;Tree - Housing;Rowan;Rowan;4;3;Up to 20 M2 (New);7 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.543628561534784"," 51.418188213123685]}"";51.4181882131",-2.543628562,
"00174521;Wharnecliffe Gardens South;100063.5;;;Tree - Housing;1;Number;WHARGASO;TR;360821.56;168067.36;N;;;;;;;SANI;Sambucus nigra;Tree - Housing;Elder;Elder;4;26;100.1 - 200 M2 (New);No Code Allocated;Zone D - Low;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.564695936779501"," 51.41026579469103]}"";51.4102657947",-2.564695937,
"00280137;Briery Leaze Road Open Space;100127;;;Tree - Parks and Green Space;0;Number;WHITPH2;TR;360223.36;168275.66;N;;;;;;;NA;No Code Allocated;Tree - Parks and Green Space;;;No;No;;No Code Allocated;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.573319824465273"," 51.412096881233204]}"";51.4120968812",-2.573319824,
"00199979;Whitchurch Railway Path;100028;;;Tree - Parks and Green Space;1;Number;WHITRAPA;TR;361441.09;168374.19;N;;;;;;;CRMO;Crataegus monogyna;Tree - Parks and Green Space;Hawthorn;Common hawthorn;2;2;Up to 20 M2 (New);6 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.555822262929537"," 51.41306715150792]}"";51.4130671515",-2.555822263,
"00279544;Whitchurch Railway Path;100001.3;;;Tree - Parks and Green Space;0;Number;WHITRAPA;TR;361486.23;168038.96;N;;;;;;;SOZZ;Sorbus - Species Unknown;Tree - Parks and Green Space;Sorbus;Unidentified Sorbus;2;1;;10 Centimetres;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.555136712039538"," 51.41005611643352]}"";51.4100561164",-2.555136712,
"00058124;St George Park;100631;;;Tree - Parks and Green Space;1;Number;STGEPA;TR;362076.99;173631.69;N;;;;;;;PLAC;Platanus x acerifolia;Tree - Parks and Green Space;Plane;London plane;19;19;350.1 Plus M2 (New);74 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.547244032097062"," 51.460381147522995]}"";51.4603811475",-2.547244032,
"00067415;St Johns Burial Ground;100011;;;Tree - Parks and Green Space;1;Number;STJOBUGR;TR;358525.92;171033.93;N;;;;;;;SOAR;Sorbus aria;Tree - Parks and Green Space;Whitebeam;Whitebeam;6;9;20.1 - 100 M2 (New);31 Centimetres;Zone D - Low;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.598048942551753"," 51.4367747657296]}"";51.4367747657",-2.598048943,
"00058155;St Johns Churchyard (South);100020;;;Tree - Parks and Green Space;1;Number;STJOCHSO;TR;358484.7;171418.64;N;;;;;;;TIXE;Tilia x europea;Tree - Parks and Green Space;Lime;European lime;11;17;200.1 - 350 M2 (New);59 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.598687150656403"," 51.440230691382716]}"";51.4402306914",-2.598687151,
"00120553;Valley Walk;100093;;;Tree - Parks and Green Space;1;Number;VALLWA;TR;358659.71;168146.86;N;;;;;;;SOAR;Sorbus aria;Tree - Parks and Green Space;Whitebeam;Whitebeam;6;6;20.1 - 100 M2 (New);34 Centimetres;Zone D - Low;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.595786525165288"," 51.41082665424875]}"";51.4108266542",-2.595786525,
"00120599;Valley Walk;100140;;;Tree - Parks and Green Space;1;Number;VALLWA;TR;358784.58;167899.2;N;;;;;;;ALGL;Alnus glutinosa;Tree - Parks and Green Space;Alder;Black alder;9;5;20.1 - 100 M2 (New);34 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.593962361685962"," 51.40860902953535]}"";51.4086090295",-2.593962362,
"00120614;Valley Walk;100155;;;Tree - Parks and Green Space;1;Number;VALLWA;TR;358751.72;167868.7;N;;;;;;;SAFR;Salix fragilis;Tree - Parks and Green Space;Willow;Crack willow;14;12;100.1 - 200 M2 (New);77 Centimetres;Zone D - Low;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.594431220746543"," 51.40833240435593]}"";51.4083324044",-2.594431221,
"00271652;Valley Walk;100157.05;;;Tree - Parks and Green Space;1;Number;VALLWA;TR;358684.88;167696.56;N;;;;;;;BEPE;Betula pendula;Tree - Parks and Green Space;Silver Birch;Silver birch;No;No;;6 Centimetres;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.595372040409873"," 51.40677979341963]}"";51.4067797934",-2.59537204,
"00271674;Valley Walk;100216.01;;;Tree - Parks and Green Space;1;Number;VALLWA;TR;358756.74;167405.68;N;;;;;;;BEPE;Betula pendula;Tree - Parks and Green Space;Silver Birch;Silver birch;No;No;;6 Centimetres;No Code Allocated;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.594305058915365"," 51.404169700340226]}"";51.4041697003",-2.594305059,
"00077972;St Mary Redcliffe Cemetery;100063;;;Tree - Parks and Green Space;1;Number;STMARECE;TR;360837.29;171697.76;N;;;;;;;ACPS;Acer pseudoplatanus;Tree - Parks and Green Space;Sycamore;Sycamore;9;10;20.1 - 100 M2 (New);18 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.56487228968689"," 51.44290831778296]}"";51.4429083178",-2.56487229,
"00058290;Victoria Park;100094;;;Tree - Parks and Green Space;1;Number;VICTPA;TR;359131.91;171331.79;N;;;;;;;TIXE;Tilia x europea;Tree - Parks and Green Space;Lime;European lime;27;15;350.1 Plus M2 (New);91 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.589365959831027"," 51.439497015154316]}"";51.4394970152",-2.58936596,
"00072452;Stoke Lodge Playing Field;100051;;;Tree - BCC Other;1;Number;STOKLOPLFI;TR;355918.29;176432.1;N;;;;;;;ROPS;Robinia pseudoacacia;Tree - BCC Other;False Acacia;False acacia;13;15;100.1 - 200 M2 (New);71 Centimetres;Zone D - Low;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.6362355048341293"," 51.485112103555835]}"";51.4851121036",-2.636235505,
"31980;Sylvan Way Former Allotments R/O 31 - 47;100003;;;Tree - Housing;1;Number;SYLVWAFOAL;TR;354881.79;177000.14;N;;;;;;;QUZZ;Quercus - Species Unknown;Tree - Housing;Oak;Unidentified oak;4;4;Up to 20 M2 (New);8 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.651234447311483"," 51.49013733892179]}"";51.4901373389",-2.651234447,
"00058433;Victoria Park;100237;;;Tree - Parks and Green Space;1;Number;VICTPA;TR;359213.24;171583.14;N;;;;;;;ACPL;Acer platanoides;Tree - Parks and Green Space;Maple;Norway maple;10;13;100.1 - 200 M2 (New);52 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.58822496094795"," 51.441762801979245]}"";51.441762802",-2.588224961,
"42222;Clifton and Durdham Downs;101582;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356983.45;174299.29;N;;;;;;;BEPE;Betula pendula;Tree - Parks and Green Space;Silver Birch;Silver birch;15;9;100.1 - 200 M2 (New);41 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.620636151494851"," 51.46601831029847]}"";51.4660183103",-2.620636151,
"42259;Clifton and Durdham Downs;101619;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356752.52;174295.59;N;;;;;;;CRMO;Crataegus monogyna;Tree - Parks and Green Space;Hawthorn;Common hawthorn;2;2;Up to 20 M2 (New);8 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.623959842106319"," 51.465967395414324]}"";51.4659673954",-2.623959842,
"31061;Clifton and Durdham Downs;101326;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356555.8;174165.22;N;;;;;;;TIZZ;Tilia - Species Unknown;Tree - Parks and Green Space;Lime;Unidentified lime;5;5;20.1 - 100 M2 (New);20 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.626775477032618"," 51.46478013344149]}"";51.4647801334",-2.626775477,
"00093102;Tree Tops Developments (Knole Lane);100059;;;Tree - Parks and Green Space;1;Number;TREETODEKN;TR;357862.22;179081.08;N;;;;;;;ACZZ;Acer - Species Unknown;Tree - Parks and Green Space;Maple;Maple species;6;6;20.1 - 100 M2 (New);21 Centimetres;Zone C - Moderate;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.60855890599969"," 51.50907756246978]}"";51.5090775625",-2.608558906,
"42278;Clifton and Durdham Downs;101638;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356719.25;174338.62;N;;;;;;;MIX;Mixed Species;Tree - Parks and Green Space;;;6;5;20.1 - 100 M2 (New);32 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.624444032744166"," 51.46635172698955]}"";51.466351727",-2.624444033,
"42389;Clifton and Durdham Downs;101749;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356522.66;173964.34;N;;;;;;;ILAQ;Ilex aquifolium;Tree - Parks and Green Space;Holly;Common holly;9;5;20.1 - 100 M2 (New);32 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.627227729338726"," 51.46297147364378]}"";51.4629714736",-2.627227729,
"34681;Wilson Street R/O 28 - 32;100006;;;Tree - BCC Other;1;Number;WILSST;TR;359589.23;173782.29;N;;;;;;;ROZZ;Robinia - Species Unknown;Tree - BCC Other;False Acacia;Unidentified false acacia;12;9;100.1 - 200 M2 (New);26 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.583067497572749"," 51.46156254592424]}"";51.4615625459",-2.583067498,
"00070558;Trymside Open Space;100079;;;Tree - Parks and Green Space;1;Number;TRYMOS;TR;355177.27;176279.41;N;;;;;;;AEHI;Aesculus hippocastanum;Tree - Parks and Green Space;Horse Chestnut;Horse chestnut;8;7;20.1 - 100 M2 (New);33 Centimetres;Zone D - Low;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.646887166723928"," 51.48368088198262]}"";51.483680882",-2.646887167,
"00112150;Windmill Hill City Farm;100024;;;Tree - Parks and Green Space;1;Number;WINDHICIFA;TR;358984.37;171602.18;N;;;;;;;FREX;Fraxinus excelsior;Tree - Parks and Green Space;Ash;Common ash;9;9;20.1 - 100 M2 (New);No Code Allocated;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.591519939471754"," 51.441917417716105]}"";51.4419174177",-2.591519939,
"42496;Clifton and Durdham Downs;101896;;;Tree - Parks and Green Space;1;Number;DURDDO;TR;356561.57;173825.5;N;;;;;;;FASY;Fagus sylvatica;Tree - Parks and Green Space;Beech;Common beech;20;15;200.1 - 350 M2 (New);80 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.626650568997381"," 51.46172616122943]}"";51.4617261612",-2.626650569,
"00098163;Whittock Road Open Space;100033;;;Tree - Parks and Green Space;1;Number;WHITRDOS;TR;361842.11;168772.81;N;;;;;;;BEPE;Betula pendula;Tree - Parks and Green Space;Silver Birch;Silver birch;9;5;20.1 - 100 M2 (New);17 Centimetres;Zone C - Moderate;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.550099373460851"," 51.41667842860864]}"";51.4166784286",-2.550099373,
"40141;Willmott Park;100109;;;Tree - Parks and Green Space;1;Number;WILLPA;TR;358252.02;168382.45;N;;;;;;;TIZZ;Tilia - Species Unknown;Tree - Parks and Green Space;Lime;Unidentified lime;8;6;20.1 - 100 M2 (New);20 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.601675831201133"," 51.41291491436938]}"";51.4129149144",-2.601675831,
"40172;Willmott Park;100140;;;Tree - Parks and Green Space;1;Number;WILLPA;TR;358214.1;168334.59;N;;;;;;;ACPL;Acer platanoides;Tree - Parks and Green Space;Maple;Norway maple;5;4;Up to 20 M2 (New);8 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.602215387772519"," 51.41248179910165]}"";51.4124817991",-2.602215388,
"40190;Willmott Park;100158;;;Tree - Parks and Green Space;1;Number;WILLPA;TR;358260.36;168302.05;N;;;;;;;AEHI;Aesculus hippocastanum;Tree - Parks and Green Space;Horse Chestnut;Horse chestnut;5;4;Up to 20 M2 (New);20 Centimetres;;;;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.601546427709981"," 51.412192645486165]}"";51.4121926455",-2.601546428,
"00059831;Brookleaze;100003;;;Tree - Highways Adopted;1;Number;4559931;TR;355036.88;176498.05;N;;;;;;;TIXE;Tilia x europea;Tree - Highways Adopted;Lime;European lime;14;7;20.1 - 100 M2 (New);60 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.648936708828817"," 51.48563548167005]}"";51.4856354817",-2.648936709,
"00054222;Henleaze Road;100006;;;Tree - Highways Adopted;1;Number;4560353;TR;357903.48;177035.49;N;;;;;;;TICO;Tilia cordata;Tree - Highways Adopted;Lime;Small-leaved lime;10;10;20.1 - 100 M2 (New);40 Centimetres;Zone B - High;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.60771965515627"," 51.49068883456891]}"";51.4906888346",-2.607719655,
"00051717;Gill Avenue;100016;;Os 145;Tree - Highways Adopted;1;Number;4552635;TR;364047.92;176687.19;N;;;;;;;SOIN;Sorbus intermedia;Tree - Highways Adopted;Whitebeam;Swedish whitebeam;6;7;20.1 - 100 M2 (New);33 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.5191882217860293"," 51.48798258097608]}"";51.487982581",-2.519188222,
"00053729;Henleaze Avenue;100013;;;Tree - Highways Adopted;1;Number;4552653;TR;357477.98;176323.22;N;;;;;;;TIXE;Tilia x europea;Tree - Highways Adopted;Lime;European lime;8;6;20.1 - 100 M2 (New);47 Centimetres;Zone C - Moderate;;Subsidence / heave claim;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.6137618488709373"," 51.4842529118662]}"";51.4842529119",-2.613761849,
"00052187;Sherston Road;100004;;;Tree - Highways Adopted;1;Number;4541064;TR;359244.06;177958.03;N;;;;;;;PRC1;Prunus cerasifera Pissardii;Tree - Highways Adopted;Plum;Cherry plum;5;4;Up to 20 M2 (New);26 Centimetres;Zone C - Moderate;;No Code Allocated;""{""""type"""": """"Point"""""," """"coordinates"""": [-2.588518871862931"," 51.49908188477289]}"";51.4990818848",-2.588518872,
